id,class,count,%
-1,None,,
,Review,,
1,Turf,138,50.735294117647065
2,Turf_rubble,,
3,Lobophora variegata,,
4,Peyssonnelia,9,3.308823529411765
5,CCA,33,12.132352941176471
6,CCA_rubble,,
7,CCA_sick,,
8,Halimeda,,
9,Cyano,,
10,Neomeris,,
11,Tydemania,,
12,Avrainvillea,,
13,Brillo spike pad,,
14,Caulerpa,,
15,Chlorodesmis,,
16,Codium,,
17,Microdictyon,,
18,Palmophyllum,,
19,Rhipilia,,
20,Ulva,,
21,Valonia,,
22,Padina,,
23,Dictyosphaeria,,
24,Dictyota,,
25,Dictyopteris,,
26,Sargassum,,
27,Turbinaria,,
28,Galaxaura,,
29,Acanthophora,,
30,Asparagopsis,,
31,Hypnea,,
32,Liagora,,
33,Seagrass,,
34,Green crust,,
35,Green_macro,,
36,Brown crust,,
37,Brn_mac,,
38,Red_calc_mac,,
39,Red fleshy macro,,
40,Black crust,,
41,Acro_branch,78,28.676470588235297
42,Acro_tab,,
43,Acropora spp,,
44,Montipora capitata branching,,
45,Montipora capitata encrusting,,
46,Montipora capitata foliose,,
47,Monti_crust,,
48,Monti_crust,,
49,Montipora patula,,
50,Monti_branch,,
51,Monti_crust,1,0.36764705882352944
52,Monti_foliose,3,1.1029411764705883
53,Montipora spp,,
54,Pavona_cactus,,
55,Pavona_chiriq,,
56,Pavona_clavus,,
57,Pavona_duerdeni,,
58,Pavona_explanulata,,
59,Pavona_maldive,,
60,Pavona_varians,,
61,Unk_Pavona_crust,,
62,Unk_Pavona_foliose,,
63,Unk_Pavona_massive,,
64,Pavona spp,,
65,Pocillopora damicornis,1,0.36764705882352944
66,Pocillopora eydouxi,,
67,Pocillopora ligulata,,
68,Pocillopora meandrina/verrucosa,,
69,Pocillopora zelli,,
70,Pocillopora spp.,,
71,Porites arnaudi foliose,,
72,Porites arnoudi massive,,
73,Porites compressa,,
74,Porites cylindrica,,
75,Porites evermanni,,
76,Porites lichen,,
77,Porites lichen,,
78,Porites lobata crust,,
79,Porites lobata mass,,
80,Porites rus branch,,
81,Porites rus encrusting,,
82,Porites rus foliose,,
83,Porites superfusa,,
84,Porites spp_branching,,
85,Porites spp_encrusting,,
86,Porites spp_foliose,,
87,Porites spp_massive,,
88,Porites spp,,
89,Acanthast,,
90,Astreopora,,
91,Isopora,,
92,Coeloseris,,
93,Gardineroseris,,
94,Leptoseris,,
95,Pachyseris,,
96,Stylocoeniella,,
97,Turbinaria,,
98,Diploastrea,,
99,Euphyllia,,
100,Plerogyra,,
101,Barabattoia,,
102,Cyphastrea,,
103,Favia,,
104,Favites,,
105,Leptastrea,,
106,Montastraea,,
107,Plesiastrea,,
108,Podabacia,,
109,Ctenactis,,
110,Cycloseris,,
111,Diaseris,,
112,Fungia,,
113,Halomitra,,
114,Herpolitha,,
115,Sandalolitha,,
116,Lobophyllia,,
117,Caulastrea,,
118,Echinopora,,
119,Goniastrea,,
120,Hydnophora,,
121,Leptoria,,
122,Merulina,,
123,Oulophyllia,,
124,Paraclavarina,,
125,Platygyra,,
126,Scapophyllia,,
127,Scolymia,,
128,Symphyllia,,
129,Galaxea,,
130,Echinophyllia,,
131,Mycedium,,
132,Oxypora,,
133,Pectinia,,
134,Seriatopora,,
135,Stylophora,,
136,Alveopora,,
137,Goniopora,,
138,Coscinaraea,,
139,Psammocora,,
140,Tubastraea,,
141,Millepora,,
142,Heliopora,,
143,Lace coral,,
144,Unk_fungiid,,
145,Hydro_coral,,
146,Unk_branch,,
147,Unk_columnar,,
148,Unk_encrusting,,
149,Unk_foliose,,
150,Unk_massive,,
151,Unk_table,,
152,Sand,,
153,Fine sediment,9,3.308823529411765
154,Limestone,,
155,Basalt,,
156,Instrument,,
157,Giant clam,,
158,Anemone,,
159,Corallimorph,,
160,Sponge,,
161,Tunicate,,
162,Zoanthid,,
163,Leather coral,,
164,Octocoral,,
165,Soft_coral,,
166,Gorgonian,,
167,Hydroid,,
168,Bivalve,,
169,Bryozoan,,
170,Green Diplosoma,,
171,Black_coral,,
172,Unk_Octocorallia,,
173,Unk_soft_coral,,
